攻击名称,年月,总不变量数,违规数量,通过数量,违规率(%),状态,检测时间
SocketGateway_exp,2024-01,1,0,1,0.0,Success,2025-11-05T16:58:42.464413
MIMSpell2_exp,2024-01,7,2,5,28.6,Success,2025-11-05T16:58:42.636320
WiseLending03_exp,2024-01,14,2,12,14.3,Success,2025-11-05T16:58:42.720781
Freedom_exp,2024-01,0,0,0,0.0,Failed,2025-11-05T16:58:47.010739
Bmizapper_exp,2024-01,1,0,1,0.0,Success,2025-11-05T16:58:49.283486
CitadelFinance_exp,2024-01,8,2,6,25.0,Success,2025-11-05T16:58:49.656936
WiseLending02_exp,2024-01,6,2,4,33.3,Success,2025-11-05T16:58:55.892856
Gamma_exp,2024-01,7,2,5,28.6,Success,2025-11-05T16:58:56.395314
LQDX_alert_exp,2024-01,7,2,5,28.6,Success,2025-11-05T16:59:02.471331
NBLGAME_exp,2024-01,0,0,0,0.0,Failed,2025-11-05T16:59:17.846305
XSIJ_exp,2024-01,8,2,6,25.0,Success,2025-11-05T16:59:24.451073
DAO_SoulMate_exp,2024-01,5,2,3,40.0,Success,2025-11-05T16:59:31.382197
Shell_MEV_0xa898_exp,2024-01,4,2,2,50.0,Success,2025-11-05T17:06:14.921639
RadiantCapital_exp,2024-01,5,2,3,40.0,Success,2025-11-05T17:06:14.936975
MIC_exp,2024-01,7,2,5,28.6,Success,2025-11-05T17:06:15.080104
OrbitChain_exp,2024-01,1,0,1,0.0,Success,2025-11-05T17:06:15.378626
